timestamp,ID,race_ethnicity,database_language,survey_language,survey_completed_for_artist,What is your race/ethnicity?,Is English your primary language (or one of your primary languages?),How comfortable are you reading English?,How comfortable are you writing English?,Do you use a language other than English?,Is your primary language ASL/sign language (or one of your primary languages)?,Do you live with anyone that uses ASL?,Do you live with anyone that is D/deaf or hard of hearing?,Do you live with anyone that is hearing?,What is your primary language?,Do you live with anyone speaks this language?,Do you live with anyone that speaks English?,Which device do you most regularly use for emails and Zoom?,"Please list any other devices, apps, or software that you regularly use to access and use technology.",How comfortable are you using email?,How comfortable are you using Zoom?,Does anyone regularly help you use email and/or Zoom?,Do you have a helper?,helper_type,Does this person live with you?,What language(s) do they feel most comfortable using?,How comfortable are they reading English?,How comfortable are they writing English?,How comfortable are they using email?,How comfortable are they using Zoom?
2/6/2022 21:48:18,1054,White,English,English,1,white,Yes,1,1,No,,,,,,,,other,She doesn't read or write,1,2,Yes,Yes,Non-CG staff,No,English or Spanish,5,5,5,5
3/15/2022 21:12:11,1055,Black,English,English,0,ALAMEDA,Yes,5,3,No,,,,,,,,computer,,3,4,Yes,Yes,Family,Yes,Englisb,5,5,5,5
2/8/2022 13:49:01,1056,Black,English,English,1,Black african american,Yes,4,5,No,,,,,,,,phone,,2,1,Yes,Yes,CG staff,No,English,5,5,5,5
2/9/2022 11:57:49,1057,White,N/A,English,1,White,Yes,5,3,No,,,,,,,,phone,Use a computer sometimes,3,3,No,No,,,,,,,
2/10/2022 22:07:57,1058,White,English,English,0,caucasian,Yes,5,5,No,,,,,,,,computer,"cell phone, tablet",2,1,Yes,Yes,Family,Yes,English,5,5,5,5
1/25/2022 14:12:36,1059,Latino,English,English,1,Spanish decent,Yes,2,2,Yes,No,,,,spanish,No,Yes,computer,tablet,1,2,Yes,Yes,Non-CG staff,No,spanish,5,5,5,5
1/27/2022 15:31:13,1060,White,English,English,0,White,Yes,5,4,No,,,,,,,,computer,"iphone, ipad",5,4,No,No,,,,,,,
2/8/2022 11:35:17,1061,Latino,Spanish,Spanish,1,latino espano,No,3,2,Yes,No,,,,el espanol,Yes,No,Computadora / laptop,,4,5,No,No,,,,,,,
3/24/2022 18:23:59,1063,Chinese,"English, Mandarin",English,1,Chinese,Yes,3,3,Yes,No,,,,English,Yes,Yes,Ipad,iphone,1,3,Yes,Yes,Family,Yes,English and Chinese,4,3,2,4
1/25/2022 16:49:31,1062,white/Chinese/native american,English,English,0,", European mix, Chinese, Native American",Yes,5,5,No,,,,,,,,computer,,5,4,No,No,,,,,,,
3/15/2022 14:32:12,1064,Black,English,English,0,Black,Yes,5,5,No,,,,,,,,computer,Phone,5,5,Yes,Yes,Family,Yes,English,5,5,5,2
2/16/2022 18:43:41,1065,Chinese,Chinese,English,1,Chinese,Yes,1,1,Yes,No,,,,English/cantonese,Yes,Yes,computer,,1,1,Yes,Yes,Family,Yes,Cantonese,3,2,5,3
1/26/2022 8:37:44,1066,White,English,English,0,Filipino,Yes,5,5,No,,,,,,,,phone,"Chromebook, tablet",4,5,No,No,,,,,,,
